User ID,City,Age,Gender,Device,Platform,First Access,Last Active,Orders,Total Spend (₹),Watched Video,Saved Recipe
U1000,Chennai,25,M,iPhone,App,01-01-2024,14-05-2025,2,1152,Yes,No
U1001,Mumbai,33,M,Android,App,02-01-2024,12-05-2025,3,138,No,No
U1002,Pune,37,F,Android,App,03-01-2024,15-05-2025,3,1296,No,No
U1003,Chennai,31,M,Android,App,04-01-2024,11-05-2025,2,1140,Yes,No
U1004,Delhi,30,F,iPhone,App,05-01-2024,20-04-2025,3,1179,Yes,No
U1005,Bangalore,32,F,Android,App,06-01-2024,26-04-2025,5,325,Yes,Yes
U1006,Kolkata,40,M,Android,Web,07-01-2024,12-05-2025,3,166,Yes,Yes
U1007,Pune,42,M,Android,App,08-01-2024,29-04-2025,1,1320,No,No
U1008,Delhi,30,F,Android,App,09-01-2024,16-04-2025,2,934,Yes,Yes
U1009,Mumbai,42,F,Android,App,10-01-2024,23-04-2025,0,1146,Yes,Yes
U1010,Hyderabad,35,F,iPhone,App,11-01-2024,02-05-2025,2,1098,Yes,No
U1011,Chennai,34,M,Android,App,12-01-2024,06-05-2025,3,336,Yes,Yes
U1012,Bangalore,40,F,Android,App,13-01-2024,14-05-2025,4,1056,Yes,No
U1013,Chennai,34,F,Android,App,14-01-2024,05-05-2025,0,1018,Yes,Yes
U1014,Kolkata,44,F,Android,App,15-01-2024,05-05-2025,1,1261,Yes,Yes
U1015,Mumbai,23,F,Android,App,16-01-2024,18-04-2025,1,572,Yes,Yes
U1016,Chennai,30,F,iPhone,App,17-01-2024,15-05-2025,1,652,No,No
U1017,Bangalore,38,M,Android,App,18-01-2024,21-04-2025,0,794,No,Yes
U1018,Mumbai,34,F,Android,App,19-01-2024,29-04-2025,1,1352,Yes,No
U1019,Chennai,23,F,Android,App,20-01-2024,04-05-2025,2,416,Yes,No
U1020,Hyderabad,40,F,Android,App,21-01-2024,17-04-2025,3,697,No,No
U1021,Pune,32,F,Android,App,22-01-2024,25-04-2025,4,867,Yes,Yes
U1022,Mumbai,41,M,Android,Web,23-01-2024,28-04-2025,1,985,Yes,Yes
U1023,Pune,38,M,iPhone,Web,24-01-2024,03-05-2025,4,660,Yes,No
U1024,Mumbai,21,M,Android,App,25-01-2024,15-04-2025,1,1324,No,No
U1025,Hyderabad,33,F,Android,App,26-01-2024,30-04-2025,2,357,Yes,No
U1026,Pune,23,F,iPhone,App,27-01-2024,01-05-2025,1,1301,No,Yes
U1027,Delhi,35,M,Android,App,28-01-2024,08-05-2025,2,856,No,No
U1028,Bangalore,40,M,Android,App,29-01-2024,05-05-2025,5,222,No,Yes
U1029,Delhi,39,M,Android,App,30-01-2024,02-05-2025,2,441,No,Yes
U1030,Chennai,33,F,Android,Web,31-01-2024,02-05-2025,0,1294,Yes,Yes
U1031,Hyderabad,34,F,Android,App,01-02-2024,13-05-2025,2,1182,Yes,Yes
U1032,Delhi,22,M,Android,Web,02-02-2024,02-05-2025,2,359,No,Yes
U1033,Mumbai,27,M,Android,App,03-02-2024,22-04-2025,2,1496,No,Yes
U1034,Chennai,35,M,iPhone,App,04-02-2024,13-05-2025,1,194,Yes,No
U1035,Chennai,29,F,Android,App,05-02-2024,02-05-2025,5,1248,No,Yes
U1036,Delhi,23,F,Android,App,06-02-2024,19-04-2025,1,140,Yes,No
U1037,Delhi,37,F,Android,App,07-02-2024,29-04-2025,1,353,Yes,Yes
U1038,Hyderabad,21,M,Android,App,08-02-2024,05-05-2025,3,106,Yes,Yes
U1039,Bangalore,36,M,Android,App,09-02-2024,07-05-2025,4,827,Yes,Yes
U1040,Delhi,32,F,iPhone,App,10-02-2024,03-05-2025,4,168,Yes,Yes
U1041,Kolkata,23,M,iPhone,App,11-02-2024,28-04-2025,0,1204,Yes,No
U1042,Delhi,44,F,Android,App,12-02-2024,06-05-2025,1,641,Yes,Yes
U1043,Pune,30,M,iPhone,Web,13-02-2024,29-04-2025,2,1385,Yes,No
U1044,Mumbai,26,M,Android,App,14-02-2024,22-04-2025,1,188,Yes,Yes
U1045,Kolkata,31,M,Android,App,15-02-2024,05-05-2025,1,1331,No,No
U1046,Kolkata,29,M,Android,App,16-02-2024,05-05-2025,1,312,Yes,No
U1047,Pune,26,F,iPhone,App,17-02-2024,19-04-2025,5,933,Yes,Yes
U1048,Pune,32,M,Android,App,18-02-2024,19-04-2025,3,365,Yes,Yes
U1049,Chennai,26,F,Android,App,19-02-2024,11-05-2025,4,1011,Yes,Yes
U1050,Bangalore,43,F,iPhone,App,20-02-2024,30-04-2025,1,392,No,No
U1051,Mumbai,36,F,Android,App,21-02-2024,11-05-2025,1,1330,Yes,Yes
U1052,Hyderabad,29,M,Android,App,22-02-2024,21-04-2025,1,432,No,No
U1053,Kolkata,29,F,Android,App,23-02-2024,03-05-2025,1,1200,Yes,No
U1054,Hyderabad,43,F,Android,App,24-02-2024,29-04-2025,1,1411,Yes,No
U1055,Delhi,23,F,Android,App,25-02-2024,07-05-2025,2,1104,Yes,No
U1056,Delhi,39,M,Android,App,26-02-2024,20-04-2025,0,146,Yes,No
U1057,Hyderabad,23,M,Android,App,27-02-2024,30-04-2025,2,721,Yes,Yes
U1058,Delhi,41,F,iPhone,App,28-02-2024,21-04-2025,7,1323,Yes,No
U1059,Bangalore,26,M,Android,App,29-02-2024,19-04-2025,2,526,Yes,No
U1060,Pune,41,F,Android,App,01-03-2024,15-05-2025,3,309,Yes,Yes
U1061,Delhi,20,F,Android,App,02-03-2024,30-04-2025,1,987,No,No
U1062,Chennai,31,M,Android,App,03-03-2024,25-04-2025,2,253,Yes,Yes
U1063,Delhi,43,F,Android,App,04-03-2024,22-04-2025,2,514,Yes,No
U1064,Mumbai,32,M,Android,Web,05-03-2024,15-05-2025,3,1476,Yes,No
U1065,Bangalore,29,M,Android,App,06-03-2024,26-04-2025,1,1280,Yes,Yes
U1066,Mumbai,34,F,Android,App,07-03-2024,06-05-2025,4,1384,Yes,No
U1067,Mumbai,32,M,Android,App,08-03-2024,28-04-2025,3,1200,No,Yes
U1068,Chennai,42,M,Android,App,09-03-2024,15-04-2025,3,868,No,Yes
U1069,Bangalore,41,F,Android,App,10-03-2024,15-05-2025,7,1082,Yes,Yes
U1070,Bangalore,41,F,Android,App,11-03-2024,09-05-2025,3,1254,Yes,No
U1071,Bangalore,40,M,Android,App,12-03-2024,13-05-2025,5,678,Yes,Yes
U1072,Bangalore,41,M,Android,App,13-03-2024,02-05-2025,3,839,No,Yes
U1073,Bangalore,28,F,Android,App,14-03-2024,01-05-2025,2,262,Yes,No
U1074,Chennai,28,M,iPhone,App,15-03-2024,18-04-2025,2,1138,Yes,Yes
